fval,Prophylactic zinc supplementation,Vitamin A supplementation,Complementary feeding education,Public provision of complementary foods,Breastfeeding promotion,Balanced energy-protein supplementation,Multiple micronutrient supplementation
18196621.76,4.99E-06,2.99E-05,1.85E-07,24694534.7,2.24E-05,3.84E-05,3.52E-05
16710300.15,0.000340368,0.000162819,24694534.7,0.000365161,5.15E-05,6.99E-05,5.30E-05
18040721.91,24686208.32,629.7461426,305.6954095,3347.420162,1016.629447,1043.198794,1983.689891
17347814.96,573859.5433,7306537.713,9193078.541,169128.6378,1988891.264,3734414.028,1728624.973
18040664.09,24694534.7,1.95E-05,1.68E-05,5.39E-05,4.68E-05,3.05E-05,1.57E-05
16710300.15,0,1.40E-05,24694534.7,2.39E-06,5.97E-06,6.93E-07,1.49E-06
16710300.15,0.000258878,0.000539999,24694534.7,0.000174229,5.89E-05,0.000208645,0.00048124
16730389.53,661970.5388,1230241.725,21990352.49,73892.40825,254653.5406,128114.9617,355309.0374
18098944.29,4547512.903,7341902.973,2376074.161,46204.92459,5375032.111,4442185.688,565621.9399
16710559.14,1.34E-11,10047.29044,24658048.74,6910.312119,0,5896.247455,13632.10894
16707443.98,1625474.566,729.8005914,23066753.51,41.5635404,220.9643604,1.58E-12,1314.292436
16710300.15,0.006615711,0.003891759,24694534.65,0.013937891,0.005575129,0.01035062,0.014159993
16711095.85,2733.62866,99641.66595,24540570.3,31991.87471,19597.2259,3.71E-11,0
18040664.09,24694534.7,7.04E-06,1.71E-06,8.39E-06,1.03E-06,6.03E-06,9.00E-07
16710301.06,25.84893331,24.11918467,24694378.53,30.56710025,12.12329022,11.83360424,51.67702444
16710300.18,0.097254081,1.278767966,24694530.52,0.783969435,0.079592408,0.244031522,1.692363596
16710300.94,6.847793674,0.204780067,24694432.79,56.35601992,22.27890081,15.38162355,0.839325052
18055063.2,3476791.978,2723533.781,2780138.044,406385.868,8254179,3148080.606,3905425.423
16711584.16,410882.923,58274.95354,23877019.09,288850.1686,2715.348166,29967.96021,26824.2599
16713205.41,47792.12246,58168.9385,24183734.21,296996.435,0,93480.03184,14362.95982
16710300.15,1.33E-06,1.56E-06,24694534.7,2.35E-05,1.90E-05,9.70E-06,8.37E-06
16710300.15,9.45E-06,6.01E-05,24694534.7,6.02E-05,2.63E-05,0.000113792,1.85E-06
16719575.18,437273.3351,289076.6278,23246997.82,47479.76929,30305.74738,270910.7107,372490.6906
16710300.15,9.91E-09,1.80E-07,24694534.7,5.72E-09,1.14E-08,5.23E-08,3.36E-07
16710301.37,18.46018944,1.665100959,24694401.09,8.344575831,6.141919426,55.92624753,43.06864424
16710300.15,0.096398524,0.005905122,24694534.47,0.090386085,0.009319254,0.027111369,0.000193487
16726191.39,610347.6449,1006084.734,22113892.22,729222.3582,234987.7462,2.82E-11,0
16712024.22,25966.39358,75442.3192,24460638.29,14789.8553,30430.25349,39656.33393,47611.25745
16717509.31,7438.495298,206897.4375,24014883.98,94011.99951,268784.4114,80250.13846,22268.23351
16710300.15,0.002483908,0.007473726,24694534.68,0.000223867,0.000329102,0.002120746,0.006562722
17142028.36,4123490.254,2001660.183,10714830.48,543162.4058,1.13E-09,1811963.11,5499428.27
16710300.15,1.72E-05,2.69E-06,24694534.7,0.000650404,0.000499117,6.53E-05,1.06E-05
17751053.49,5894034.632,3558293.56,4540062.199,2209384.761,2205042.466,5537318.54,750398.5422
16710300.15,0.000479638,0.000308299,24694534.7,5.31E-05,0.000242967,1.82E-05,0.000472772
16710300.17,0.249062807,0.651896669,24694532.44,0.179045921,0.322612842,0.82652904,0.031519546
16710528.09,12202.28832,0,24650252.25,0,1.72E-11,0,32080.16537
16710300.15,0.066255413,0.009077107,24694534.52,0.002529036,0.016050217,4.86E-18,0.087123623
16710319.7,600.140812,167.6767377,24692066.86,63.19769782,355.2188487,771.8759603,509.7336802
16710300.57,0,4.503254282,24694486.06,14.48074533,5.206561243,10.99897724,13.45371072
16710300.92,22.08958188,24.00045514,24694419.47,10.15865589,21.90520306,10.07149128,27.00555384
16710400.83,178.8488418,473.4201116,24683777.4,4154.966782,3426.963275,1084.39465,1438.703738
16710653.96,16997.29923,4059.748356,24637019.61,9623.022055,6462.387452,14671.72926,5700.905168
16710571.48,9957.140067,4105.833222,24653373.9,921.965385,1253.350799,10361.08808,14561.42025
17646028.24,4397596.875,986116.1562,5587681.06,3822027.427,4934806.229,3079419.964,1886886.989
17676317.19,1868417.849,4251734.057,5487814.026,3077588.79,1862466.927,4342480.288,3804032.763
16710300.15,9.27E-05,5.76E-05,24694534.7,2.04E-05,2.24E-05,0.000255643,0.000127446
16710300.15,0.060899402,0.004430568,24694534.55,0.026703575,0.003453779,0.000630647,0.056591591
16710300.15,3.76E-06,7.18E-07,24694534.7,7.26E-06,3.63E-06,1.73E-06,1.05E-06
17932568.8,7119094.138,5916735.416,2658156.635,5290488.158,2247269.106,1238557.098,224234.1492
16710312.17,14.98010034,286.0364464,24693211.59,183.9739168,83.73248012,482.713086,271.6704899
16710300.15,0.000238259,3.23E-05,24694534.7,2.10E-05,2.84E-05,8.43E-05,0.000147848
17642226.38,4096838.894,193130.2819,5931979.553,3028405.399,6598026.976,4357066.611,489086.9846
18266244.34,5134711.548,1813504.55,280583.9362,3105157.056,6334284.45,2421984.307,5604308.853
16710300.15,2.53E-07,1.14E-07,24694534.7,7.31E-07,5.64E-08,5.94E-08,2.11E-07
16710300.15,0.012717486,0.113971145,24694534.15,0.140494774,0.100316177,0.110348198,0.074742252
18042969.27,2590290.546,6230070.64,2712737.098,1998729.033,4389192.114,3561015.4,3212499.87
17673559.21,6394706.024,1399952.562,4623253.439,6173316.315,1784206.565,473651.6592,3845448.136
16710300.15,1.99E-05,1.79E-05,24694534.7,3.08E-05,4.48E-05,5.90E-05,2.32E-05
17823919.15,3868471.087,4766608.53,3808410.891,6415743.154,924624.4347,4742084.075,168592.5284
16715291.24,23318.86757,34496.34455,24293738.98,28968.62406,193771.996,92635.72204,27604.16942
16710302.32,82.79225085,62.47495435,24694175.44,82.25107288,53.05264254,71.79518381,6.895395661
16710607.48,13996.55676,3441.074481,24644339.39,14512.36462,16193.48114,631.4413299,1420.38956
17698672.95,4596182.5,2259281.26,4878674.507,4105024.583,1123942.36,4782213.578,2949215.912
16710300.15,0.006484661,0.00241492,24694534.67,9.61E-19,0.002077022,0.017608119,0.001294295
16710504.71,14758.47341,2641.960281,24631640.99,37800.31326,7.59E-13,4926.080631,2766.882244
16710300.15,2.12E-05,7.51E-05,24694534.7,2.39E-05,4.44E-21,6.47E-06,2.79E-05
17110692.21,4745.248791,5963178.121,12484100.25,484141.3886,5183583.577,400826.3552,173959.7577
